PROJECT_NAME,RESOURCE_NAME,SERVICE
sb-prototipos-xops,sd_indemnizaciones_api_dev_1lfyvz9a1kxkv_apigateway_sb_prototipos_xops_cloud_goog_endpoints_log_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,apigateway_googleapis_com_requests_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,ailab-voz-intermediarios-ivr-stage-00001-kzp,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-stage,run.googleapis.com/Service
sb-prototipos-xops,ailab-voz-intermediarios-ivr-00012-4pr,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00052-lzv,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-00011-gsd,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-00010-m7k,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-00009-pcp,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00051-mnh,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260211,bigquery.googleapis.com/Table
sb-prototipos-xops,ms-ailab-api-mensajes-agente-correos-00036-5wl,run.googleapis.com/Revision
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudbuild_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,ms-ailab-ocr-ampliado-00002-6gr,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com_stderr_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stdout_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_requests_20260212,bigquery.googleapis.com/Table
